,Date,Price,Open,High,Low,Vol.,Change %,Currency
0,09/15/2023,385.35,386.04,387.67,384.4,,0.35%,USD
1,09/14/2023,384.0,386.23,387.61,384.25,,-0.32%,USD
2,09/13/2023,385.23,385.84,386.36,385.02,,0.10%,USD
3,09/12/2023,384.84,386.1,387.05,384.42,,-0.07%,USD
4,09/11/2023,385.1,385.65,387.05,384.83,,0.12%,USD
5,09/08/2023,384.65,385.68,386.84,384.83,,-0.01%,USD
6,09/07/2023,384.68,385.83,387.5,384.74,,-0.04%,USD
7,09/06/2023,384.83,385.81,387.5,384.9,,0.01%,USD
8,09/05/2023,384.81,385.9,387.5,385.81,,-0.02%,USD
9,09/04/2023,384.9,385.9,385.9,385.9,,0.00%,USD
10,09/01/2023,384.9,385.78,385.9,385.78,,0.03%,USD
11,08/31/2023,384.78,385.98,385.98,385.78,,-0.05%,USD
12,08/30/2023,384.98,386.15,386.15,385.98,,-0.04%,USD
13,08/29/2023,385.15,385.99,386.15,385.99,,0.04%,USD
14,08/28/2023,384.99,385.98,385.99,385.95,,0.00%,USD
15,08/25/2023,384.98,385.96,386.64,385.28,,0.01%,USD
16,08/24/2023,384.96,386.8,387.4,385.48,,-0.22%,USD
17,08/23/2023,385.8,385.79,387.05,385.39,,0.26%,USD
18,08/22/2023,384.79,386.13,387.07,385.39,,0.21%,USD
19,08/21/2023,384.0,386.13,387.57,385.57,,-0.29%,USD
20,08/18/2023,385.13,386.15,387.58,385.77,,-0.01%,USD
21,08/17/2023,385.15,386.7,387.13,385.48,,0.12%,USD
22,08/16/2023,384.7,386.66,387.83,385.83,,-0.25%,USD
23,08/15/2023,385.66,386.61,387.83,386.3,,0.01%,USD
24,08/14/2023,385.61,386.0,387.8,385.5,,0.16%,USD
25,08/11/2023,385.0,386.05,387.9,386.0,,-0.01%,USD
26,08/10/2023,385.05,386.07,388.4,386.05,,-0.01%,USD
27,08/09/2023,385.07,386.46,386.46,386.07,,-0.10%,USD
28,08/08/2023,385.46,386.09,388.0,386.09,,0.10%,USD
29,08/07/2023,385.09,386.29,388.0,386.09,,-0.05%,USD
30,08/04/2023,385.29,386.86,388.2,386.29,,-0.15%,USD
31,08/03/2023,385.86,386.86,387.93,385.43,,0.00%,USD
32,08/02/2023,385.86,386.18,387.93,386.09,,0.18%,USD
33,08/01/2023,385.18,386.14,387.95,385.57,,0.01%,USD
34,07/31/2023,385.14,386.22,387.11,385.57,,-0.02%,USD
35,07/28/2023,385.22,386.36,388.2,386.11,,-0.04%,USD
36,07/27/2023,385.36,386.4,389.4,385.18,,-0.01%,USD
37,07/26/2023,385.4,386.74,388.8,385.7,,-0.09%,USD
38,07/25/2023,385.74,387.09,388.05,386.37,,-0.09%,USD
39,07/24/2023,386.09,386.48,388.05,386.24,,0.16%,USD
40,07/21/2023,385.48,386.29,389.4,386.14,,0.05%,USD
41,07/20/2023,385.29,387.28,390.1,386.14,,-0.26%,USD
42,07/19/2023,386.28,386.29,390.3,386.14,,0.26%,USD
43,07/18/2023,385.29,386.14,390.6,385.07,,0.04%,USD
44,07/17/2023,385.14,386.01,390.4,386.01,,0.03%,USD
45,07/14/2023,385.01,390.2,390.4,385.01,,-0.82%,USD
46,07/13/2023,388.2,386.26,390.2,385.63,,0.76%,USD
47,07/12/2023,385.26,387.17,388.9,385.13,,-0.24%,USD
48,07/11/2023,386.17,387.09,388.14,386.55,,0.02%,USD
49,07/10/2023,386.09,386.19,387.89,385.1,,0.28%,USD
50,07/07/2023,385.0,386.28,387.24,385.1,,-0.07%,USD
51,07/06/2023,385.28,386.25,387.14,385.13,,0.01%,USD
52,07/05/2023,385.25,386.98,387.49,385.63,,-0.19%,USD
53,07/04/2023,385.98,386.9,387.54,386.39,,0.00%,USD
54,07/03/2023,385.98,386.06,388.0,385.03,,0.24%,USD
55,06/30/2023,385.06,386.32,387.16,385.68,,-0.07%,USD
56,06/29/2023,385.32,386.53,387.65,385.96,,-0.05%,USD
57,06/28/2023,385.53,386.71,387.75,386.36,,-0.05%,USD
58,06/27/2023,385.71,386.55,387.7,386.27,,0.04%,USD
59,06/26/2023,385.55,387.1,387.6,386.17,,-0.14%,USD
60,06/23/2023,386.1,386.14,387.7,385.57,,0.25%,USD
61,06/22/2023,385.14,386.16,388.0,385.07,,-0.01%,USD
62,06/21/2023,385.16,387.08,388.04,386.08,,-0.24%,USD
63,06/20/2023,386.08,387.0,388.04,385.14,,0.21%,USD
64,06/19/2023,385.27,386.54,387.27,385.64,,-0.07%,USD
65,06/16/2023,385.54,386.54,387.27,386.27,,0.00%,USD
66,06/15/2023,385.54,386.6,387.5,386.2,,-0.02%,USD
67,06/14/2023,385.6,386.0,388.11,385.8,,-0.16%,USD
68,06/13/2023,386.21,386.4,387.61,385.2,,0.21%,USD
69,06/12/2023,385.4,386.18,387.2,385.59,,0.36%,USD
70,06/09/2023,384.0,387.0,387.5,384.5,,-0.52%,USD
71,06/08/2023,386.0,386.75,388.02,384.45,,0.06%,USD
72,06/07/2023,385.75,387.04,388.02,384.6,,-0.08%,USD
73,06/06/2023,386.04,387.28,388.14,384.6,,-0.06%,USD
74,06/05/2023,386.28,387.22,388.14,384.7,,0.02%,USD
75,06/02/2023,386.22,386.98,388.11,385.3,,0.06%,USD
76,06/01/2023,385.98,386.62,387.49,385.31,,0.09%,USD
77,05/31/2023,385.62,386.52,387.31,384.5,,0.03%,USD
78,05/30/2023,385.52,386.5,386.76,384.7,,0.66%,USD
79,05/29/2023,383.0,386.5,386.5,385.0,,-0.65%,USD
80,05/26/2023,385.52,386.4,386.76,385.05,,0.03%,USD
81,05/25/2023,385.4,386.25,386.7,385.05,,0.04%,USD
82,05/24/2023,385.25,386.25,386.63,385.33,,0.00%,USD
83,05/23/2023,385.25,386.91,387.2,385.0,,-0.17%,USD
84,05/22/2023,385.91,386.42,387.2,385.0,,0.13%,USD
85,05/19/2023,385.42,387.03,387.03,385.0,,-0.16%,USD
86,05/18/2023,386.03,386.31,387.52,385.0,,0.19%,USD
87,05/17/2023,385.31,386.35,387.17,385.65,,-0.01%,USD
